id,strLocation,latitude,longitude,city,state,zip,Store
20791-208087,Target Arnold T-1278,38.414095,-90.39546,Arnold,MO,63010,Starbucks
76442-90445,Target Hampton Vlg St Louis T-1515,38.592429,-90.295044,St. Louis,MO,63109,Starbucks
55209-283449,Saint Louis Zoo,38.635656,-90.28994,St. Louis,MO,63110,Starbucks
7945-91424,Kings & Chippewa,38.592598,-90.272163,St. Louis,MO,63109,Starbucks
11760-105546,Loughborough & I 55,38.557545,-90.262023,St. Louis,MO,63111,Starbucks
24571-237110,St Louis - S Grand and Sidney,38.608288,-90.240989,St. Louis,MO,63104,Starbucks
2952-91423,I-270 & Lindbergh,38.785642,-90.353135,Hazelwood,MO,63042,Starbucks
13511-106827,Graham & I 270,38.777353,-90.335554,Florissant,MO,63031,Starbucks
25746-241804,N Lindbergh and New Halls Ferry,38.809402,-90.299659,Florissant,MO,63033,Starbucks
27777-248704,W Florissant & Somerset - Ferguson,38.767021,-90.279986,Ferguson,MO,63135,Starbucks
2362-5953,Central West End,38.64448,-90.261245,St. Louis,MO,63108,Starbucks
54251-284309,St. Louis College of Pharmacy,38.636947,-90.261677,St. Louis,MO,63110,Starbucks
23946-152242,St. Louis University,38.635923,-90.234836,St. Louis,MO,63108,Starbucks
18009-176405,Grand Ave & Forest Park,38.632991,-90.23429,St. Louis,MO,63103,Starbucks
62568-295489,S Jefferson and Walnut,38.629806,-90.216753,St. Louis,MO,63103,Starbucks
75586-68060,Marriott St. Louis Grand,38.630655,-90.191852,St. Louis,MO,63101,Starbucks
63505-296800,Ballpark Village,38.624702,-90.193569,St. Louis,MO,63102,Starbucks
75520-103839,St. Louis Hilton at the Ballpark,38.625172,-90.190579,St. Louis,MO,63102,Starbucks
3198-103665,Hyatt Regency Riverfront St. Louis,38.626002,-90.188291,St. Louis,MO,63102,Starbucks
75133-64500,Southern Illinois U/E-Student Union,38.792082,-89.997292,Edwardsville,IL,62025,Starbucks
49008-266131,157 & Center Grove Rd,38.78775,-89.978912,Edwardsville,IL,62025,Starbucks
13852-108653,Troy & Governor's Pkwy,38.78879,-89.951888,Edwardsville,IL,62025,Starbucks
76860-116533,Target Belleville T-2330,38.5112,-90.0146,Belleville,IL,62226,Starbucks
13947-108651,Bluff Rd. & I-55,38.676185,-90.014609,Collinsville,IL,62234,Starbucks
56240-288602,TARGET EDWARDSVILLE T-733,38.782621,-89.949238,Edwardsville,IL,62025,Starbucks
