id,strLocation,latitude,longitude,city,state,zip,Store
1008 Loughborough Avenue MO 63111,1.0,38.556442,-90.26255,Saint Louis,MO,63111,Panera Bread
3114 S Grand Blvd MO 63118,1.0,38.602036,-90.24195999999999,Saint Louis,MO,63118,Panera Bread
116 N 6th St MO 63101,1.0,38.626338,-90.19080600000001,Saint Louis,MO,63101,Panera Bread
2018 S 7th Street MO 63104,1.0,38.606611,-90.202624,Saint Louis,MO,63104,Panera Bread
4561 Forest Park Ave MO 63108,1.0,38.639194,-90.26117099999999,Saint Louis,MO,63108,Panera Bread
4651 Maryland Ave MO 63108,1.0,38.645055,-90.26099,Saint Louis,MO,63108,Panera Bread
6607 Chippewa St MO 63109,1.0,38.591253,-90.305201,Saint Louis,MO,63109,Panera Bread
1008 Loughborough Avenue MO 63111,1.0,38.556442,-90.26255,Saint Louis,MO,63111,Panera Bread
3114 S Grand Blvd MO 63118,1.0,38.602036,-90.24195999999999,Saint Louis,MO,63118,Panera Bread
290 Mid Rivers Mall Drive MO 63376,1.0,38.793642999999996,-90.622987,Saint Peters,MO,63376,Panera Bread
290 Mid Rivers Mall Drive MO 63376,1.0,38.793642999999996,-90.622987,Saint Peters,MO,63376,Panera Bread
290 Mid Rivers Mall Drive MO 63376,1.0,38.793642999999996,-90.622987,Saint Peters,MO,63376,Panera Bread
290 Mid Rivers Mall Drive MO 63376,1.0,38.793642999999996,-90.622987,Saint Peters,MO,63376,Panera Bread
5 W Rand Rd IL 60004,1.0,42.112531,-87.981668,Arlington Heights,IL,60004,Panera Bread
1734 W Algonquin Rd IL 60005,0.9,42.175841,-88.32225799999999,Algonquin,IL,60102,Panera Bread
31 S Evergreen Ave IL 60005,1.0,42.082288,-87.980995,Arlington Heights,IL,60005,Panera Bread
1736 W Algonquin Rd IL 60005,1.0,42.057748,-88.005353,Arlington Heights,IL,60005,Panera Bread
5 W Rand Rd IL 60004,1.0,42.112531,-87.981668,Arlington Heights,IL,60004,Panera Bread
1734 W Algonquin Rd IL 60005,0.9,42.175841,-88.32225799999999,Algonquin,IL,60102,Panera Bread
31 S Evergreen Ave IL 60005,1.0,42.082288,-87.980995,Arlington Heights,IL,60005,Panera Bread
1736 W Algonquin Rd IL 60005,1.0,42.057748,-88.005353,Arlington Heights,IL,60005,Panera Bread
2987 Kirk Road IL 60502,1.0,41.816726,-88.27881,Aurora,IL,60502,Panera Bread
1304 Fox Valley Center IL 60504,0.87,41.75865,-88.214209,Aurora,IL,60504,Panera Bread
195 Fox Valley Ctr IL 60504,1.0,41.759739,-88.2148,Aurora,IL,60504,Panera Bread
740 N Route 59 IL 60504,1.0,41.765878,-88.206568,Aurora,IL,60504,Panera Bread
1330 Orchard Rd IL 60506,0.9,41.783506,-88.37626800000001,Aurora,IL,60506,Panera Bread
2987 Kirk Road IL 60502,1.0,41.816726,-88.27881,Aurora,IL,60502,Panera Bread
1304 Fox Valley Center IL 60504,0.87,41.75865,-88.214209,Aurora,IL,60504,Panera Bread
