address,longitude,city,state,zip,Store,latitude
Target Hampton Vlg St Louis T-1515,-90.29504399999999,St. Louis,MO,63109,Starbucks,38.59242899999999666
Saint Louis Zoo,-90.28994,St. Louis,MO,63110,Starbucks,38.63565667
Kings & Chippewa,-90.272163,St. Louis,MO,63109,Starbucks,38.59259799999999568
Loughborough & I 55,-90.262023,St. Louis,MO,63111,Starbucks,38.55754500000000569
St Louis - S Grand and Sidney,-90.240989,St. Louis,MO,63104,Starbucks,38.60828870
I-270 & Lindbergh,-90.353135,Hazelwood,MO,63042,Starbucks,38.78564199999999671
Graham & I 270,-90.335554,Florissant,MO,63031,Starbucks,38.77735300000000572
N Lindbergh and New Halls Ferry,-90.29965899999999,Florissant,MO,63033,Starbucks,38.80940273
W Florissant & Somerset - Ferguson,-90.279986,Ferguson,MO,63135,Starbucks,38.76702174
Central West End,-90.261245,St. Louis,MO,63108,Starbucks,38.6444875
St. Louis College of Pharmacy,-90.261677,St. Louis,MO,63110,Starbucks,38.63694776
Grand Ave & Forest Park,-90.23429,St. Louis,MO,63103,Starbucks,38.63299177
S Jefferson and Walnut,-90.216753,St. Louis,MO,63103,Starbucks,38.62980678
Marriott St. Louis Grand,-90.191852,St. Louis,MO,63101,Starbucks,38.63065579
Ballpark Village,-90.193569,St. Louis,MO,63102,Starbucks,38.62470280
St. Louis Hilton at the Ballpark,-90.190579,St. Louis,MO,63102,Starbucks,38.62517281
Hyatt Regency Riverfront St. Louis,-90.188291,St. Louis,MO,63102,Starbucks,38.62600282
