address,longitude,city,state,zip,Store,latitude
2301 Holmes St MO 64108,-94.575255,Kansas City,MO,64108,McDonald's,39.084213137
3255 Main St MO 64111,-94.585132,Kansas City,MO,64111,McDonald's,39.066988138
3741 Broadway St MO 64111,-94.590454,Kansas City,MO,64111,McDonald's,39.059615139
500 Nichols Rd MO 64112,-94.594315,Kansas City,MO,64112,McDonald's,39.041656140
7887 State Line Rd MO 64114,-94.607744,Kansas City,MO,64114,McDonald's,38.986046141
1300 W 103rd St MO 64114,-94.607303,Kansas City,MO,64114,McDonald's,38.942316142
8326 Wornall Rd MO 64114,-94.59536,Kansas City,MO,64114,McDonald's,38.976337143
4002 N Oak Trfy MO 64116,-94.577468,Kansas City,MO,64116,McDonald's,39.167448144
2200 Vernon St MO 64116,-94.556367,Kansas City,MO,64116,McDonald's,39.146868145
4400 N Chouteau Trfy MO 64117,-94.535263,Kansas City,MO,64117,McDonald's,39.1731146
7412 N Oak Trfy MO 64118,-94.576229,Kansas City,MO,64118,McDonald's,39.228559147
6305 N Antioch Rd MO 64119,-94.548329,Kansas City,MO,64119,McDonald's,39.20843148
290 Us 69 MO 64119,-94.50003,Kansas City,MO,64119,McDonald's,39.199958149
7207 N Hwy M1 MO 64119,-94.545053,Kansas City,MO,64119,McDonald's,39.227657150
6701 E Front St MO 64120,-94.503562,Kansas City,MO,64120,McDonald's,39.129752151
5347 Independence Ave MO 64124,-94.519696,Kansas City,MO,64124,McDonald's,39.10502152
1421 Prospect Ave MO 64127,-94.551194,Kansas City,MO,64127,McDonald's,39.095496153
3051 Van Brunt Blvd MO 64128,-94.520122,Kansas City,MO,64128,McDonald's,39.069225154
6996 Eastwood Trfy MO 64129,-94.503578,Kansas City,MO,64129,McDonald's,39.03129600000001155
6406 Troost Ave MO 64131,-94.575159,Kansas City,MO,64131,McDonald's,39.011065156
11290 Holmes Rd MO 64131,-94.584058,Kansas City,MO,64131,McDonald's,38.92149000000001157
8304 Hickman Mills Dr MO 64132,-94.555457,Kansas City,MO,64132,McDonald's,38.975998158
8909 E Mo-350 MO 64133,-94.478852,Kansas City,MO,64133,McDonald's,38.997236159
4398 E 115th St MO 64137,-94.537074,Kansas City,MO,64137,McDonald's,38.917303160
5620 E Bannister Rd MO 64137,-94.525798,Kansas City,MO,64137,McDonald's,38.95366161
7700 E 87th St MO 64138,-94.498679,Raytown,MO,64138,McDonald's,38.966649162
13100 Mo-350 MO 64139,-94.428417,Kansas City,MO,64138,McDonald's,38.965678163
